Date,Open,tomo prediction,Dividends,Pos,prediction,last
2018-12-19,86.21726757821979,0,0.0,0,1.0,1.0
2018-12-20,85.0223557561635,1,0.0,0,0.0,1.0
2018-12-21,84.94881574148107,1,0.0,0,1.0,0.0
2018-12-24,82.98181379771104,0,0.0,1,1.0,1.0
2018-12-27,84.3789377593435,1,0.0,1,0.0,1.0
2018-12-28,85.61979810825164,1,0.0,1,1.0,0.0
2018-12-31,86.0058561500353,1,0.0,1,1.0,1.0
2019-01-02,85.21537177110926,1,0.0,0,1.0,1.0
2019-01-03,85.80362153790895,1,0.0,1,1.0,1.0
2019-01-04,85.94150773175198,1,0.0,0,1.0,1.0
2019-01-07,86.86067601746109,1,0.0,0,1.0,1.0
2019-01-08,87.02612254989805,0,0.0,1,1.0,1.0
2019-01-09,86.66763225393544,1,0.0,1,0.0,1.0
2019-01-10,87.6603374259017,0,0.0,0,1.0,0.0
2019-01-11,88.80929595177898,1,0.0,1,0.0,1.0
2019-01-14,88.51516324439638,1,0.0,1,1.0,0.0
2019-01-15,89.16775399259905,1,0.0,1,1.0,1.0
2019-01-16,89.93985763145868,1,0.0,1,1.0,1.0
2019-01-17,89.7927923901097,1,0.0,1,1.0,1.0
2019-01-18,91.18072038172986,1,0.0,1,1.0,1.0
2019-01-22,91.61272150727456,1,0.0,0,1.0,1.0
2019-01-23,91.89749001817677,1,0.98,1,1.0,1.0
2019-01-24,91.24772120911496,1,0.0,1,1.0,1.0
2019-01-25,92.1759729350784,1,0.0,1,1.0,1.0
2019-01-28,91.42407311471192,1,0.0,1,1.0,1.0
2019-01-29,92.12026693960631,1,0.0,1,1.0,1.0
2019-01-30,92.73291338007404,1,0.0,0,1.0,1.0
2019-01-31,92.59367294183498,1,0.0,1,1.0,1.0
2019-02-01,93.10421998804871,1,0.0,1,1.0,1.0
2019-02-04,93.4476667569072,1,0.0,1,1.0,1.0
2019-02-05,93.56836177262079,1,0.0,1,1.0,1.0
2019-02-06,93.75400037172513,1,0.0,1,1.0,1.0
2019-02-07,94.2088449454182,1,0.0,0,1.0,1.0
2019-02-08,93.58690908547231,1,0.0,0,1.0,1.0
2019-02-11,94.13458732507708,1,0.0,1,1.0,1.0
2019-02-12,93.56835021281836,1,0.0,1,1.0,1.0
2019-02-13,93.76328552575286,1,0.0,0,1.0,1.0
2019-02-14,93.53121683087872,1,0.0,1,1.0,1.0
2019-02-15,93.64260775806908,1,0.0,1,1.0,1.0
2019-02-19,94.21813206280191,1,0.0,1,1.0,1.0
2019-02-20,94.68225612734363,0,0.0,0,1.0,1.0
2019-02-21,95.37845856385205,1,0.0,0,0.0,1.0
2019-02-22,94.08818266118246,1,0.0,1,1.0,0.0
2019-02-25,94.91431860909329,1,0.0,1,1.0,1.0
2019-02-26,95.03499537884329,1,0.0,1,1.0,1.0
2019-02-27,95.12782909323357,1,0.0,0,1.0,1.0
2019-02-28,95.517691033941,1,0.0,1,1.0,1.0
2019-03-01,95.98181292788608,1,0.0,0,1.0,1.0
2019-03-04,96.21389144055084,1,0.0,1,1.0,1.0
2019-03-05,95.99109714010662,1,0.0,0,1.0,1.0
2019-03-06,96.4645171815527,1,0.0,0,1.0,1.0
2019-03-07,96.07465443233959,1,0.0,0,1.0,1.0
2019-03-08,95.0535555519932,1,0.0,1,1.0,1.0
2019-03-11,95.48054840567332,1,0.0,0,1.0,1.0
2019-03-12,95.7033422948337,1,0.0,1,1.0,1.0
2019-03-13,95.61051325495905,1,0.0,0,1.0,1.0
2019-03-14,95.46199295688506,1,0.0,1,1.0,1.0
2019-03-15,96.33455041962898,1,0.0,1,1.0,1.0
2019-03-18,96.07464817409405,0,0.0,0,1.0,1.0
2019-03-19,96.78011849325422,1,0.0,0,0.0,1.0
2019-03-20,96.02823032965635,1,0.0,0,1.0,0.0
2019-03-21,94.7286643074055,1,0.0,0,1.0,1.0
2019-03-22,94.68226181784878,1,0.0,0,1.0,1.0
2019-03-25,94.60798938940441,1,0.0,1,1.0,1.0
2019-03-26,95.33203236725285,1,0.0,0,1.0,1.0
2019-03-27,95.14638148662044,1,0.0,0,1.0,1.0
2019-03-28,94.59872824329209,1,0.0,0,1.0,1.0
2019-03-29,94.68225811614494,1,0.0,1,1.0,1.0
2019-04-01,94.17171207271264,1,0.0,1,1.0,1.0
2019-04-02,95.20207654312851,1,0.0,1,1.0,1.0
